Date,"Cuttlefish"
2020-01-01,1305
2020-01-02,1251
2020-01-03,1348
2020-01-04,1356
2020-01-05,1485
2020-01-06,1394
2020-01-07,2187
2020-01-08,2107
2020-01-09,5363
2020-01-10,3805
2020-01-11,2609
2020-01-12,2174
2020-01-13,2739
2020-01-14,2010
2020-01-15,1641
2020-01-16,1604
2020-01-17,1614
2020-01-18,1678
2020-01-19,1782
2020-01-20,1709
2020-01-21,1584
2020-01-22,1467
2020-01-23,1449
2020-01-24,1451
2020-01-25,1444
2020-01-26,1392
2020-01-27,1418
2020-01-28,1445
2020-01-29,1390
2020-01-30,1450
2020-01-31,1521
2020-02-01,1580
2020-02-02,1419
2020-02-03,1468
2020-02-04,1583
2020-02-05,1969
2020-02-06,1583
2020-02-07,1418
2020-02-08,1400
2020-02-09,1979
2020-02-10,1628
2020-02-11,1634
2020-02-12,1733
2020-02-13,1575
2020-02-14,1372
2020-02-15,1406
2020-02-16,1609
2020-02-17,1378
2020-02-18,1385
2020-02-19,1458
2020-02-20,1589
2020-02-21,1411
2020-02-22,1385
2020-02-23,1607
2020-02-24,1478
2020-02-25,1460
2020-02-26,1410
2020-02-27,1422
2020-02-28,1516
2020-02-29,1246
2020-03-01,1398
2020-03-02,1549
2020-03-03,1509
2020-03-04,1531
2020-03-05,1586
2020-03-06,1541
2020-03-07,1249
2020-03-08,1767
2020-03-09,1622
2020-03-10,1327
2020-03-11,1314
2020-03-12,1330
2020-03-13,1092
2020-03-14,1337
2020-03-15,1219
2020-03-16,1134
2020-03-17,1030
2020-03-18,1091
2020-03-19,1149
2020-03-20,1051
2020-03-21,1046
2020-03-22,1268
2020-03-23,2202
2020-03-24,1191
2020-03-25,1496
2020-03-26,1528
2020-03-27,1505
2020-03-28,1796
2020-03-29,1543
2020-03-30,1613
2020-03-31,1553
2020-04-01,1406
2020-04-02,1477
2020-04-03,1521
2020-04-04,1801
2020-04-05,1833
2020-04-06,1712
2020-04-07,1615
2020-04-08,1610
2020-04-09,1721
2020-04-10,1730
2020-04-11,2697
2020-04-12,1974
2020-04-13,1641
2020-04-14,1488
2020-04-15,1673
2020-04-16,1654
2020-04-17,1611
2020-04-18,1759
2020-04-19,1721
2020-04-20,1790
2020-04-21,1892
2020-04-22,1780
2020-04-23,1754
2020-04-24,1574
2020-04-25,1623
2020-04-26,1627
2020-04-27,1609
2020-04-28,1592
2020-04-29,1416
2020-04-30,1559
2020-05-01,1998
2020-05-02,1531
2020-05-03,1698
2020-05-04,1490
2020-05-05,1406
2020-05-06,1423
2020-05-07,1430
2020-05-08,1367
2020-05-09,1318
2020-05-10,1493
2020-05-11,1422
2020-05-12,1459
2020-05-13,1380
2020-05-14,1442
2020-05-15,1469
2020-05-16,1283
2020-05-17,1567
2020-05-18,1513
2020-05-19,1352
2020-05-20,1308
2020-05-21,1306
2020-05-22,1400
2020-05-23,1326
2020-05-24,1412
2020-05-25,1318
2020-05-26,1212
2020-05-27,1199
2020-05-28,1235
2020-05-29,1113
2020-05-30,1226
2020-05-31,1207
2020-06-01,1254
2020-06-02,1227
2020-06-03,2295
2020-06-04,1291
2020-06-05,1390
2020-06-06,1337
2020-06-07,1396
2020-06-08,1557
2020-06-09,1353
2020-06-10,1966
2020-06-11,1482
2020-06-12,1216
2020-06-13,1316
2020-06-14,1708
2020-06-15,1309
2020-06-16,1256
2020-06-17,1322
2020-06-18,1242
2020-06-19,1213
2020-06-20,1349
2020-06-21,1388
2020-06-22,1219
2020-06-23,1155
